INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
CAFE EAST,50055609,2920 BROADWAY,"NEW YORK, NY 10027-7164",MANHATTAN,994012,233233,50055609,Asian
CAFE OLLEH,50035692,15619 NORTHERN BLVD,"FLUSHING, NY 11354-5033",QUEENS,1037193,217681,50035692,Korean
CAFE ON RALPH,50055331,86 RALPH AVE,"BROOKLYN, NY 11221-4118",BROOKLYN,1005445,189646,50055331,Caf&eacute;/Coffee/Tea
CAFE WATER,50057491,519 6TH AVE,"NEW YORK, NY 10011-8420",MANHATTAN,985064,207810,50057491,American
CAFFE BENE,50043779,208 AVENUE A,"NEW YORK, NY 10009-3415",MANHATTAN,989539,205099,50043779,Caf&eacute;/Coffee/Tea
CAFFE DEI FIORI RISTORANTE,50014329,973 LEXINGTON AVE,"NEW YORK, NY 10021-5101",MANHATTAN,994520,219600,50014329,Italian
CALEXICO,50040810,1491 2ND AVE,"NEW YORK, NY 10075-2135",MANHATTAN,996514,220700,50040810,Mexican
CAMPERDOWN ELM,50064591,441 7TH AVE,"BROOKLYN, NY 11215-5512",BROOKLYN,988507,180894,50064591,American
CANTINE,50045785,126 UNION ST FRNT STORE,"BROOKLYN, NY 11231-2908",BROOKLYN,983582,188553,50045785,American
CAPRI CAKES,50045592,306 E 149TH ST,"BRONX, NY 10451-5602",BRONX,1006058,236934,50045592,Bakery
CARA MIA,50005723,654 9TH AVE,"NEW YORK, NY 10036-3678",MANHATTAN,986765,216441,50005723,Italian
CARIBBEAN COFFEE SHOP,50043744,527 STANLEY AVE,"BROOKLYN, NY 11207-7719",BROOKLYN,1015086,178742,50043744,Caribbean
CARIDAD RESTAURANT,50007933,1594 WESTCHESTER AVE,"BRONX, NY 10472-2919",BRONX,1018628,241382,50007933,Spanish
CARLETON LOUNGE,50034366,500 W 120TH ST 4,"NEW YORK, NY 10027-6608",MANHATTAN,995425,234204,50034366,American
CARNEGIE CUP CAFE,50051372,1080 PARK AVE,"NEW YORK, NY 10128-1167",MANHATTAN,996297,224072,50051372,Caf&eacute;/Coffee/Tea
CARVEL,50050739,2231A GRAND CONCOURSE FRNT CARVEL,"BRONX, NY 10453-2202",BRONX,1011700,251185,50050739,"Ice Cream, Gelato, Yogurt, Ices"
CARVEL ICE CREAM,50061036,16310 CROSSBAY BLVD,"HOWARD BEACH, NY 11414-3740",QUEENS,1029168,176884,50061036,"Ice Cream, Gelato, Yogurt, Ices"
CASA GALICIA,50049441,3709 31ST AVE,"ASTORIA, NY 11103-3821",QUEENS,1006823,216905,50049441,Spanish
CASA PEPE,50046828,112 BAY RIDGE AVE # 116,"BROOKLYN, NY 11220-5053",BROOKLYN,975410,171547,50046828,Spanish
CASA RESTAURANT & LOUNGE,50042132,3607 E TREMONT AVE,"BRONX, NY 10465-2009",BRONX,1032830,241283,50042132,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
CASCADE JERK,50060066,11902 SUTPHIN BLVD,"JAMAICA, NY 11434-2027",QUEENS,1042036,186782,50060066,Caribbean
CEMITAS EL TIGRE,50037441,4514 48TH AVE,"WOODSIDE, NY 11377-6554",QUEENS,1006374,208664,50037441,Mexican
CENTRAL CARIBBEAN BAKERY,50014473,1322 E GUN HILL RD FRNT 3,"BRONX, NY 10469-3049",BRONX,1026335,256746,50014473,Bakery
CENTRAL STATION,50009776,84 CENTRAL AVE,"BROOKLYN, NY 11206-6235",BROOKLYN,1003663,194611,50009776,American
CHALAIT,50057024,75 9TH AVE,"NEW YORK, NY 10011-7006",MANHATTAN,982944,209562,50057024,Caf&eacute;/Coffee/Tea
CHAMPION COFFEE,50056353,1107 MANHATTAN AVE APT 1,"BROOKLYN, NY 11222-6147",BROOKLYN,996644,207546,50056353,Caf&eacute;/Coffee/Tea
CHANDNI CHOWK,50044848,2570 BRONXWOOD AVE,"BRONX, NY 10469-4204",BRONX,1022531,254115,50044848,Pakistani
CHARRUA,50017962,131 ESSEX ST FRNT 1,"NEW YORK, NY 10002-2370",MANHATTAN,987725,201595,50017962,Spanish
CHECKERS,50002976,133-18 GUY R BREWER BLVD,"JAMAICA, NY 11434",QUEENS,1046392,184828,50002976,American
CHECKERS,50004436,1130 MYRTLE AVE,"BROOKLYN, NY 11206-5908",BROOKLYN,1002087,193192,50004436,Hamburgers
CHECKERS,50006190,1146 LIBERTY AVE,"BROOKLYN, NY 11208-3332",BROOKLYN,1021170,186581,50006190,Sandwiches
CHEEBURGER CHEEBURGER,50044127,2935 VETERANS RD W BLDG K,"STATEN ISLAND, NY 10309-2519",STATEN ISLAND,919896,131630,50044127,Hamburgers
CHIDORI JAPANESE CUISINE,50045410,9709 64TH AVE,"REGO PARK, NY 11374-2230",QUEENS,1023021,205198,50045410,Japanese
CHILLBOX,50049296,716 7TH AVE,"NEW YORK, NY 10036-1520",MANHATTAN,988592,216034,50049296,"Ice Cream, Gelato, Yogurt, Ices"
CHILLHOUSE,50061134,149 ESSEX ST,"NEW YORK, NY 10002-2323",MANHATTAN,987804,201798,50061134,Caf&eacute;/Coffee/Tea
CHILO'S,50012080,323 FRANKLIN AVE,"BROOKLYN, NY 11238-1405",BROOKLYN,996148,190065,50012080,Tex-Mex
CHINA BLUE,50004684,451 WASHINGTON ST,"NEW YORK, NY 10013-1723",MANHATTAN,981406,203019,50004684,Chinese
CHINA HOUSE,50059503,5501 METROPOLITAN AVE,"RIDGEWOOD, NY 11385-1224",QUEENS,1009570,199077,50059503,Chinese
CHINA KING OGDEN RESTAURANT,50053660,1377 OGDEN AVE,"BRONX, NY 10452-2306",BRONX,1005126,246020,50053660,Chinese
"CHINA MIA EXOTIC ASIAN FOOD, YOGURT & JUICE BAR",50005591,2232 WHITE PLAINS RD,"BRONX, NY 10467-9404",BRONX,1020887,252073,50005591,Chinese
CHINA THAI,50013562,867 FLATBUSH AVE,"BROOKLYN, NY 11226-3105",BROOKLYN,995668,176447,50013562,Chinese
CHOCK FULL O' NUTS,50040781,1508 AVENUE J,"BROOKLYN, NY 11230-3708",BROOKLYN,995062,167059,50040781,Caf&eacute;/Coffee/Tea
CHOP SHOP KITCHEN,50035959,41 W 24TH ST FRNT 1,"NEW YORK, NY 10010-3210",MANHATTAN,986845,209922,50035959,Asian
CHOZA TAQUERIA,50054386,185 GREENWICH ST UNIT LL2450,"NEW YORK, NY 10007-2344",MANHATTAN,980899,198618,50054386,Mexican
CHUCK E. CHEESE'S,50004837,700 EXTERIOR ST STE 303A,"BRONX, NY 10451-2051",BRONX,1003347,239296,50004837,Pizza
CIBAO,50006286,172 SMITH ST,"BROOKLYN, NY 11201-6407",BROOKLYN,986717,189132,50006286,Spanish
CINCO DE MAYO,50014390,4229 BELL BLVD APT 1,"BAYSIDE, NY 11361-2825",QUEENS,1047880,217068,50014390,Tex-Mex
CITY FARM CAFE,50047876,647 FULTON ST,"BROOKLYN, NY 11217-1152",BROOKLYN,990015,190020,50047876,American
CITY OWLETS,50058680,1042 JACKSON AVE,"LONG ISLAND CITY, NY 11101-5819",QUEENS,997212,209693,50058680,Caf&eacute;/Coffee/Tea
CLANCEY,50057808,79 CLINTON ST FRNT,"NEW YORK, NY 10002-3451",MANHATTAN,988350,201167,50057808,American
CLEAR LAKE,50057957,4429 9TH ST,"LONG IS CITY, NY 11101-7002",QUEENS,997646,212602,50057957,Asian
CLOUD CUCKOOLAND,50063974,1186 BROADWAY,"BROOKLYN, NY 11221-3018",BROOKLYN,1004393,191584,50063974,American
COCO,50050434,8612 5TH AVE,"BROOKLYN, NY 11209-5201",BROOKLYN,976934,165650,50050434,Caf&eacute;/Coffee/Tea
COCO,50056490,156 DELANCEY ST,"NEW YORK, NY 10002-3308",MANHATTAN,988053,200830,50056490,Caf&eacute;/Coffee/Tea
COCOA BAR BROOKLYN,50034635,228 7TH AVE,"BROOKLYN, NY 11215-3477",BROOKLYN,990099,183412,50034635,Caf&eacute;/Coffee/Tea
COFFEE RX,50008334,6903 3RD AVE,"BROOKLYN, NY 11209-1304",BROOKLYN,977010,170842,50008334,Caf&eacute;/Coffee/Tea
COFFEE STOP,50045560,7408 GRAND AVE,"ELMHURST, NY 11373-4127",QUEENS,1015481,205340,50045560,Caf&eacute;/Coffee/Tea
COLD CUT CITY BUNNY DELI 2,50005347,228 W 231ST ST,"BRONX, NY 10463-5302",BRONX,1010342,259658,50005347,American
COLD STONE CREAMERY,50045659,8801 QUEENS BLVD,"ELMHURST, NY 11373-4449",QUEENS,1018813,207136,50045659,"Ice Cream, Gelato, Yogurt, Ices"
COLD STONE CREAMERY,50046623,139 FLATBUSH AVE STE A11,"BROOKLYN, NY 11217-1402",BROOKLYN,990428,188636,50046623,"Ice Cream, Gelato, Yogurt, Ices"
COLD STONE CREAMERY,50053609,241A W 42ND ST,"NEW YORK, NY 10036-7201",MANHATTAN,987364,215003,50053609,"Ice Cream, Gelato, Yogurt, Ices"
COLONIA VERDE,50007228,219 DEKALB AVE,"BROOKLYN, NY 11205-4015",BROOKLYN,992393,190493,50007228,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
COMFORT ZONE,50046752,16554 BAISLEY BLVD,"JAMAICA, NY 11434-2517",QUEENS,1045794,186816,50046752,American
COMMONS CAFE,50033491,388 ATLANTIC AVE STE 1,"BROOKLYN, NY 11217-3651",BROOKLYN,988256,189643,50033491,American
COMMUNITEA,50039133,1118 46TH RD,"LONG ISLAND CITY, NY 11101-5322",QUEENS,998140,210916,50039133,American
CONEY'S CONES,50033978,1023 BOARDWALK W,"BROOKLYN, NY 11224-2824",BROOKLYN,990101,148132,50033978,"Ice Cream, Gelato, Yogurt, Ices"
CORK & KALE (EVEN HOTEL NEW YORK-MIDTOWN EAST),50057201,219 E 44TH ST,"NEW YORK, NY 10017-4305",MANHATTAN,991765,213182,50057201,American
CORNER CAFE,50011181,2 DITMAS AVE APT 1,"BROOKLYN, NY 11218-4929",BROOKLYN,990093,170788,50011181,Jewish/Kosher
CORNER OF VERMONT,50006216,374 5TH AVE STE B,"BROOKLYN, NY 11215-3379",BROOKLYN,988541,183856,50006216,Hotdogs
CREMA BK,50039517,182 DRIGGS AVE STE 1,"BROOKLYN, NY 11222-4691",BROOKLYN,999298,202666,50039517,Caf&eacute;/Coffee/Tea
CREPE CAFE,50043041,1642 LEXINGTON AVE FRNT 1,"NEW YORK, NY 10029-5329",MANHATTAN,998803,227341,50043041,American
CREPE FACTORY,50053011,7306 3RD AVE,"BROOKLYN, NY 11209-2463",BROOKLYN,976674,169790,50053011,American
CROWN FRIED CHICKEN,50016148,44B NEW LOTS AVE,"BROOKLYN, NY 11212-6934",BROOKLYN,1011038,178732,50016148,Chicken
CROWN FRIED CHICKEN,50016610,640 CONDUIT BLVD STE 1,"BROOKLYN, NY 11208-3312",BROOKLYN,1021400,185474,50016610,Chicken
CROWN FRIED CHICKEN,50018993,399 MOTHER GASTON BLVD,"BROOKLYN, NY 11212-7736",BROOKLYN,1010113,183170,50018993,Chicken
CROWNE PLAZA-JFK AIRPORT,50004830,13810 135TH AVE,"JAMAICA, NY 11436-2102",QUEENS,1039811,182633,50004830,American
CROXLEYS THE ABBEY,50006398,63 GRAND ST,"BROOKLYN, NY 11249-4110",BROOKLYN,993946,200101,50006398,American
CULTURA PIZZA E VITA,50032882,151 MOTT ST,"NEW YORK, NY 10013-5412",MANHATTAN,985242,201308,50032882,Pizza/Italian
CUMBIA & SABOR,50057057,4506 GREENPOINT AVE,"SUNNYSIDE, NY 11104-2410",QUEENS,1006495,209578,50057057,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
CURRY & KEBAB,50055402,3111 BAINBRIDGE AVE,"BRONX, NY 10467-3955",BRONX,1017630,257731,50055402,Indian
CURRY BO & YOUNG STREET POKE CO,50058457,13620 38TH AVE FL 1,"FLUSHING, NY 11354-4277",QUEENS,1031267,216561,50058457,Other
CURRY KABAB,50013833,2165 STARLING AVE,"BRONX, NY 10462-4305",BRONX,1024927,243993,50013833,Pakistani
CURRY POINT HALAL GRILL,50046825,4102 GREENPOINT AVE,"SUNNYSIDE, NY 11104-3008",QUEENS,1005341,208905,50046825,Indian
CUSTOM FUEL PIZZA,50005871,2288 FREDERICK DOUGLASS BLVD,"NEW YORK, NY 10027-5320",MANHATTAN,997487,233936,50005871,Pizza
Cannelle LIC,50016720,511 47TH AVE FL LBY,"LONG ISLAND CITY, NY 11101-5722",QUEENS,996676,211026,50016720,French
Cape House,50056363,2 KNICKERBOCKER AVE,"BROOKLYN, NY 11237-1408",BROOKLYN,1003105,197113,50056363,American
Chong Qing Xiao Mian,50052489,13620 ROOSEVELT AVE STE 19,"FLUSHING, NY 11354-5664",QUEENS,1031557,216133,50052489,Chinese
Cin Cheese Back Ribs,50058750,4235 MAIN ST STE 1K,"FLUSHING, NY 11355-3957",QUEENS,1031936,214181,50058750,Chinese
Cooks and Captains,50059002,254 5TH AVE,"BROOKLYN, NY 11215-8636",BROOKLYN,989387,185188,50059002,American
D' MONTAZO RESTAURANT,50016323,216 WYCKOFF AVE STE 1,"BROOKLYN, NY 11237-5352",BROOKLYN,1008005,194797,50016323,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
DAEJI DAEJI KOREAN BBQ,50032618,4108 149TH PL,"FLUSHING, NY 11355-1014",QUEENS,1035590,216979,50032618,Korean
DAHLIAS FINE MEXICAN CUISINE,50033559,214 E 9TH ST,"NEW YORK, NY 10003-7551",MANHATTAN,987452,205124,50033559,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
DAIRY QUEEN GRILL & CHILL,50010102,54 W 14TH ST,"NEW YORK, NY 10011-7501",MANHATTAN,985545,207682,50010102,Sandwiches
DAIRY QUEEN GRILL & CHILL,50037455,27 GRAHAM AVE,"BROOKLYN, NY 11206-4007",BROOKLYN,1000231,195100,50037455,American
DALTON'S BAR AND GRILL,50049726,8414 ASTORIA BLVD,"EAST ELMHURST, NY 11370-1643",QUEENS,1016138,217872,50049726,American
DANTE,50035310,79-81 MACDOUGAL ST,"NEW YORK, NY 10012-2514",MANHATTAN,983825,204790,50035310,Italian
DAVIDOVICH BAKERY,50045017,75 9TH AVE FRNT 6,"NEW YORK, NY 10011-7033",MANHATTAN,982944,209562,50045017,Bakery
DAVIES ROTI SHOP AND SMOOTHIE BAR,50056343,12707 ROCKAWAY BLVD,"SOUTH OZONE PARK, NY 11420-2803",QUEENS,1036799,185322,50056343,Caribbean
DAYBOAT,50057951,4116 QUEENS BLVD FL 1,"SUNNYSIDE, NY 11104-2802",QUEENS,1005560,210223,50057951,Seafood
DEEP SEA FISH MARKET RESTAURANT,50034077,10008 NORTHERN BLVD,"CORONA, NY 11368-1047",QUEENS,1020745,215227,50034077,Seafood
DEFONTE'S OF BROOKLYN,50018238,95 WATER ST,"STATEN ISLAND, NY 10304-2709",STATEN ISLAND,962870,167747,50018238,Sandwiches
DEL FRISCO'S GRILLE,50065733,200 VESEY ST,"NEW YORK, NY 10281-1013",MANHATTAN,979955,199569,50065733,American
DELANEY CHICKEN (URBAN SPACE),50040648,230 PARK AVE,"NEW YORK, NY 10169-0005",MANHATTAN,990913,214165,50040648,Chicken
DELICIAS MEXICANOS,50053120,10214 ROOSEVELT AVE,"CORONA, NY 11368-2332",QUEENS,1021982,212460,50053120,Mexican
DELICIAS TROPICAL,50056234,9316 37TH AVE BLDG 1,"JACKSON HEIGHTS, NY 11372-7924",QUEENS,1019205,212853,50056234,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
DELIVERY ONLY,50045639,126 PEARL ST BSMT CELLAR,"NEW YORK, NY 10005-2861",MANHATTAN,981824,196100,50045639,American
DEMONS JAPANESE CUISINE,50058859,1418 150TH ST,"FLUSHING, NY 11357-1750",QUEENS,1035858,226543,50058859,Japanese
DENIZEN,50056804,88 ROEBLING ST,"BROOKLYN, NY 11211-2106",BROOKLYN,996646,200202,50056804,American
DENNY'S,50017990,805 PENNSYLVANIA AVE,"BROOKLYN, NY 11207-7705",BROOKLYN,1014743,178986,50017990,American
DENNY'S,50057426,8710 NORTHERN BLVD FRNT,"JACKSON HEIGHTS, NY 11372-1641",QUEENS,1017353,214753,50057426,American
DEVON & BLAKELY,50053053,185 GREENWICH ST LOWR 5105,"NEW YORK, NY 10007-2344",MANHATTAN,980899,198618,50053053,American
DING,50047806,234 W 48TH ST UNIT LEFT,"NEW YORK, NY 10036-1540",MANHATTAN,988224,216331,50047806,Chinese
DIRT CANDY,50016891,86 ALLEN ST,"NEW YORK, NY 10002",MANHATTAN,986752,200872,50016891,Vegetarian
DIRTY FRENCH,50010546,180 LUDLOW ST,"NEW YORK, NY 10002-1514",MANHATTAN,987724,202252,50010546,French
DIRTY PRECIOUS,50047345,317 3RD AVE,"BROOKLYN, NY 11215-1814",BROOKLYN,987897,185722,50047345,American
DISH FOOD & EVENTS,50038565,190 N 14TH ST,"BROOKLYN, NY 11249-1052",BROOKLYN,996537,202690,50038565,Delicatessen
DISTRICT MOT,50044225,3715 BROADWAY FRNT,"ASTORIA, NY 11103-3179",QUEENS,1006304,216043,50044225,Asian
DIVYA'S KITCHEN,50056216,25 1ST AVE FL 1,"NEW YORK, NY 10003-9418",MANHATTAN,987533,202929,50056216,Vegetarian
DO COOKIE DOUGH CONFECTIONS,50059069,550 LAGUARDIA PL FL 1,"NEW YORK, NY 10012-1461",MANHATTAN,984723,204817,50059069,"Ice Cream, Gelato, Yogurt, Ices"
DO OR DIVE,50053916,1108 BEDFORD AVE,"BROOKLYN, NY 11216-1118",BROOKLYN,996838,189505,50053916,American
DOCTORS CAVE CAFE,50038299,856 MARCY AVE,"BROOKLYN, NY 11216-1711",BROOKLYN,998954,188537,50038299,American
DOMINICANA POLLO SABROSO RESTAURANT,50048262,105 E MOUNT EDEN AVE,"BRONX, NY 10452-5804",BRONX,1008388,246612,50048262,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
DOMO TACO,50050892,733 FRANKLIN AVE,"BROOKLYN, NY 11238-4792",BROOKLYN,996209,184700,50050892,Mexican
DOMO TACO,50052325,66 WILLOUGHBY ST,"BROOKLYN, NY 11201-5204",BROOKLYN,988116,191456,50052325,Tex-Mex
DOS CAMINOS,50051612,1567 BROADWAY FL 1,"NEW YORK, NY 10036-1517",MANHATTAN,988359,215891,50051612,Mexican
DOS TOROS,50050876,1290 6TH AVE FRNT,"NEW YORK, NY 10104-0111",MANHATTAN,989869,216478,50050876,Mexican
DOS TOROS TAQUERIA,50044927,636 LEXINGTON AVE,"NEW YORK, NY 10022-4533",MANHATTAN,992429,215838,50044927,Mexican
DOSA ROYALE,50048152,258 DEKALB AVE,"BROOKLYN, NY 11205-3612",BROOKLYN,992949,190464,50048152,Indian
DOUBLE DRAGON 88,50045598,2037 1ST AVE,"NEW YORK, NY 10029-4877",MANHATTAN,1000720,226743,50045598,Chinese
DOUGHNUT PLANT,50017190,245 FLATBUSH AVENUE,"BROOKLYN, NY 11217",BROOKLYN,991166,187305,50017190,Caf&eacute;/Coffee/Tea
DOUGLASTON DELI,50056938,4423 DOUGLASTON PKWY,"LITTLE NECK, NY 11363-1843",QUEENS,1054833,218510,50056938,Delicatessen
DREAM EATERY,50050661,6712 FORT HAMILTON PKWY,"BROOKLYN, NY 11219-5846",BROOKLYN,981231,168635,50050661,Asian
DRINK,50035551,768 FRANKLIN AVE BLDG 1,"BROOKLYN, NY 11238-5503",BROOKLYN,996058,184173,50035551,American
DRINK,50057002,1551 BROADWAY BLDG 1,"NEW YORK, NY 10036-1517",MANHATTAN,988319,215730,50057002,Caf&eacute;/Coffee/Tea
DRUNKEN FISH,50015494,5235 METROPOLITAN AVE,"RIDGEWOOD, NY 11385-1268",QUEENS,1008084,199200,50015494,Japanese
DU'S DONUTS AND COFFEE,50062941,107 N 12TH ST,"BROOKLYN, NY 11249-1022",BROOKLYN,996131,202358,50062941,Donuts
DUMPLINGS AND THINGS,50017917,4526 46TH ST,"SUNNYSIDE, NY 11104-1702",QUEENS,1006734,209770,50017917,Chinese
DUNKIN DONUTS,50043586,1995 AMSTERDAM AVE,"NEW YORK, NY 10032-5055",MANHATTAN,1000508,243102,50043586,Donuts
DUNKIN DONUTS,50044345,321 BROADWAY FRNT,"NEW YORK, NY 10007-1111",MANHATTAN,982899,200096,50044345,Donuts
DUNKIN DONUTS,50045038,2655 RICHMOND AVENUE,"STATEN ISLAND, 10314",STATEN ISLAND,937292,151471,50045038,Donuts
DUNKIN DONUTS,50045582,1964 3RD AVE,"NEW YORK, NY 10029-4003",MANHATTAN,999811,228114,50045582,Donuts
DUNKIN DONUTS,50047882,8710 NORTHERN BLVD,"JACKSON HEIGHTS, NY 11372-1686",QUEENS,1017353,214753,50047882,Donuts
DUNKIN DONUTS,50048221,309 W 57TH ST,"NEW YORK, NY 10019-3113",MANHATTAN,988832,218705,50048221,Donuts
DUNKIN DONUTS,50049533,2568 BROADWAY,"NEW YORK, NY 10025-5651",MANHATTAN,992141,228925,50049533,Caf&eacute;/Coffee/Tea
DUNKIN DONUTS,50051725,700 RICHMOND TER,"STATEN ISLAND, NY 10301-1231",STATEN ISLAND,957762,174241,50051725,Donuts
DUNKIN DONUTS,50051739,3845 RICHMOND AVE,"STATEN ISLAND, NY 10312-3830",STATEN ISLAND,938376,137537,50051739,Donuts
DUNKIN DONUTS,50052001,2449 VETERANS RD W,"STATEN ISLAND, NY 10309-2512",STATEN ISLAND,918870,131722,50052001,Caf&eacute;/Coffee/Tea
DUNKIN DONUTS,50057207,610 EXTERIOR ST,"BRONX, NY 10451-2044",BRONX,1003386,238668,50057207,Donuts
DUNKIN DONUTS,50058987,8707 ROCKAWAY BEACH BLVD,"ROCKAWAY BEACH, NY 11693-1611",QUEENS,1036376,153343,50058987,Donuts
DUNKIN DONUTS,50058989,3776 JUNCTION BLVD,"CORONA, NY 11368-1741",QUEENS,1020256,212622,50058989,Donuts
DUNKIN DONUTS,50060813,8610 QUEENS BLVD,"ELMHURST, NY 11373-4428",QUEENS,1018250,207633,50060813,Caf&eacute;/Coffee/Tea
DUNKIN DONUTS BASKIN ROBBINS,50045398,2012 MOTT AVE,"FAR ROCKAWAY, NY 11691-3302",QUEENS,1052834,159550,50045398,Donuts
"DUNKIN DONUTS,BASKIN ROBBINS",50056398,3504 BROADWAY,"NEW YORK, NY 10031-5621",MANHATTAN,997743,239969,50056398,Donuts
DUNKIN DONUTS-BASKIN ROBBINS,50056173,240 E 23RD ST,"NEW YORK, NY 10010-4602",MANHATTAN,989189,208301,50056173,Donuts
DUNKIN' DONUTS,50003735,3833 BROADWAY,"NEW YORK, NY 10032-1510",MANHATTAN,999830,243750,50003735,American
DUNKIN' DONUTS,50004910,9502 37TH AVE,"JACKSON HEIGHTS, NY 11372-8025",QUEENS,1019688,212949,50004910,Donuts
DUNKIN' DONUTS,50007323,8611 LEFFERTS BLVD BLDG B3,"RICHMOND HILL, NY 11418-2508",QUEENS,1031020,194699,50007323,American
DUNKIN' DONUTS,50007846,398 AUDUBON AVE FL 1,"NEW YORK, NY 10033-4216",MANHATTAN,1003428,249336,50007846,Donuts
DUNKIN' DONUTS,50008511,5914 BEACH CHANNEL DR,"ARVERNE, NY 11692-1436",QUEENS,1042858,155805,50008511,Donuts
DUNKIN' DONUTS,50008834,1592 WESTCHESTER AVE,"BRONX, NY 10472-2919",BRONX,1018609,241375,50008834,Donuts
DUNKIN' DONUTS,50012276,67 COOPER SQ,"NEW YORK, NY 10003-7136",MANHATTAN,986981,204941,50012276,Donuts
DUNKIN' DONUTS,50013718,1776 EASTCHESTER RD STE 120,"BRONX, NY 10461-2330",BRONX,1027553,248917,50013718,Donuts
DUNKIN' DONUTS,50013752,12117 LIBERTY AVE,"SOUTH RICHMOND HILL, NY 11419-2111",QUEENS,1033605,189646,50013752,Donuts
DUNKIN' DONUTS,50017476,916 3RD AVE,"NEW YORK, NY 10022-3604",MANHATTAN,993018,215855,50017476,Donuts
DUNKIN' DONUTS,50033852,1779 SOUTHERN BLVD APT 1A,"BRONX, NY 10460-4986",BRONX,1015375,244531,50033852,Donuts
DUNKIN' DONUTS,50034453,16910 HILLSIDE AVE,"JAMAICA, NY 11432-4435",QUEENS,1041690,198301,50034453,Donuts
DUNKIN' DONUTS,50034561,1379 HALSEY ST,"BROOKLYN, NY 11237-6102",BROOKLYN,1010489,192775,50034561,Donuts
DUNKIN' DONUTS,50034566,9403 CORONA AVE,"ELMHURST, NY 11373-2830",QUEENS,1020393,209750,50034566,Donuts
DUNKIN' DONUTS,50035707,900 1ST AVE,"NEW YORK, NY 10022-8008",MANHATTAN,993678,214023,50035707,Donuts
DUNKIN' DONUTS,50036539,13344 150TH ST,"JAMAICA, NY 11436-2324",QUEENS,1042705,182587,50036539,Donuts
DUNKIN' DONUTS,50037148,585 VETERANS RD W,"STATEN ISLAND, NY 10309-1213",STATEN ISLAND,922941,139510,50037148,Donuts
DUNKIN' DONUTS,50038495,80 JOHN ST,"NEW YORK, NY 10038-2806 US",MANHATTAN,982341,197382,50038495,Donuts
DUNKIN' DONUTS,50040448,3105 QUEENS BLVD,"LONG ISLAND CITY, NY 11101-3015",QUEENS,1002474,211028,50040448,Donuts
DUNKIN' DONUTS,50041265,208 E 14TH ST,"NEW YORK, NY 10003-4105",MANHATTAN,987930,206361,50041265,Donuts
DUNKIN' DONUTS,50042783,16601 NORTHERN BLVD,"FLUSHING, NY 11358-2636",QUEENS,1039612,216106,50042783,Donuts
DUNKIN' DONUTS,50042840,105 W 125TH ST,"NEW YORK, NY 10027-4444",MANHATTAN,999236,233638,50042840,Donuts
DUNKIN' DONUTS,50049536,2424 BROADWAY,"NEW YORK, NY 10024-1707",MANHATTAN,991208,227242,50049536,Donuts
"DUNKIN' DONUTS, BASKIN ROBBINS",50014277,14401 LIBERTY AVE,"JAMAICA, NY 11435-4814",QUEENS,1037279,191696,50014277,Donuts
"DUNKIN' DONUTS, BASKIN ROBBINS",50014921,542 E 14TH ST,"NEW YORK, NY 10009-3350",MANHATTAN,990105,205162,50014921,Donuts
"DUNKIN' DONUTS, BASKIN ROBBINS",50043918,140 DELANCEY ST,"NEW YORK, NY 10002-3325",MANHATTAN,987875,200914,50043918,Donuts
DUNKIN' DONUTS-BASKIN ROBBINS,50044841,57 E 125TH ST,"NEW YORK, NY 10035-1656",MANHATTAN,1000807,232768,50044841,Donuts
DY JUICE BAR,50053477,24 VESTRY ST,"NEW YORK, NY 10013-1903",MANHATTAN,982079,202542,50053477,"Juice, Smoothies, Fruit Salads"
DYLAN'S CANDY BAR,50006470,JFK AIRPORT,"JAMAICA, 11430",QUEENS,1043012,175520,50006470,Other
Dairy Queen Grill & Chill,50055536,2005 FOREST AVE,"STATEN ISLAND, NY 10303-1702",STATEN ISLAND,940949,167366,50055536,Hamburgers
Dunkin Donuts,50043915,1058B FLUSHING AVE 1070,"BROOKLYN, NY 11237-1809",BROOKLYN,1003893,195970,50043915,Donuts
Dunkin’ Donuts,50044842,900 SAINT NICHOLAS AVE,"NEW YORK, NY 10032-5239",MANHATTAN,1000489,242040,50044842,Donuts
E FOOD NO WORRIES,50046051,5523 7TH AVE,"BROOKLYN, NY 11220-3595",BROOKLYN,981754,172252,50046051,Chinese
E NOODLE,50051839,8619 5TH AVE,"BROOKLYN, NY 11209-5201",BROOKLYN,976932,165637,50051839,Chinese
E NOODLE HOUSE,50041332,5908 KISSENA BLVD,"FLUSHING, NY 11355-5546",QUEENS,1035501,209118,50041332,Chinese
E.A.K. RAMEN,50064285,469 6TH AVE,"NEW YORK, NY 10011-8422",MANHATTAN,984765,207272,50064285,Japanese
